id,Tip restavracije
690,Seafood
690,Wine Bars
691,Butcher
691,American (Traditional)
692,Italian
693,American (New)
693,Modern European
693,Asian Fusion
694,Pubs
694,American (New)
695,Italian
696,Italian
697,Middle Eastern
697,Mediterranean
697,Greek
698,Pubs
698,Seafood
699,Sushi Bars
699,Japanese
700,Barbeque
700,American (Traditional)
700,Chicken Wings
701,Tapas Bars
701,Spanish
702,Tapas Bars
703,Breakfast & Brunch
703,Desserts
704,Spanish
704,Modern European
705,Tapas Bars
705,Mediterranean
706,Tapas Bars
706,Bars
707,Vegetarian
708,Tapas/Small Plates
708,Spanish
708,Dive Bars
709,Argentine
709,Italian
710,Tapas Bars
710,Pubs
711,American (Traditional)
711,Spanish
711,Cocktail Bars
712,Tapas Bars
712,Catalan
713,Mediterranean
713,Tapas Bars
713,Galician
714,Tapas Bars
715,Tapas Bars
715,Tapas/Small Plates
716,Breakfast & Brunch
716,Burgers
716,Cafeteria
717,Tapas/Small Plates
717,Tapas Bars
717,Spanish
718,Spanish
719,Mediterranean
719,Tapas Bars
720,Spanish
720,Basque
720,Tapas/Small Plates
721,Tapas Bars
721,Spanish
722,Spanish
722,Tapas/Small Plates
723,Catalan
723,Seafood
724,Burgers
724,Breakfast & Brunch
724,Tapas Bars
725,Sandwiches
726,Tapas Bars
726,Spanish
726,Beer Bar
727,Spanish
727,Breakfast & Brunch
727,Vegan
728,Mexican
729,Seafood
729,Tapas Bars
729,Beer Bar
730,Tapas Bars
731,Tapas/Small Plates
732,Tapas/Small Plates
732,Spanish
732,Tapas Bars
733,Seafood
733,Tapas Bars
733,Brasseries
734,Seafood
735,Seafood
736,Tapas Bars
736,Breakfast & Brunch
737,Tapas Bars
737,Basque
737,Tapas/Small Plates
738,Mexican
738,Fast Food
738,Tapas Bars
739,Wine Bars
739,Tapas Bars
740,Burgers
741,Burgers
742,Spanish
742,Bars
743,Breakfast & Brunch
743,Cafeteria
744,Asian Fusion
744,Dim Sum
744,Soup
745,Spanish
745,Tapas Bars
746,Soup
746,Ramen
747,Breakfast & Brunch
747,Cafeteria
748,Mexican
749,Spanish
749,Tapas Bars
750,Basque
750,Tapas Bars
751,Taiwanese
751,Dim Sum
751,Shanghainese
752,Chinese
752,Taiwanese
753,Steakhouses
753,Lounges
753,American (New)
754,Ramen
754,Izakaya
754,Noodles
755,Comfort Food
755,Breakfast & Brunch
755,Cocktail Bars
756,Italian
756,Bars
757,Greek
757,Mediterranean
757,Lebanese
758,Thai
759,American (New)
759,Seafood
759,Live/Raw Food
760,Steakhouses
760,American (Traditional)
761,Sushi Bars
761,Ramen
761,Izakaya
762,Bars
762,Burgers
763,American (New)
763,Burgers
764,American (New)
764,Lounges
765,Steakhouses
765,Brazilian
766,Korean
766,Barbeque
767,American (New)
767,Cocktail Bars
768,Ramen
768,Noodles
769,Taiwanese
769,Hot Pot
770,Seafood
770,Dim Sum
770,Cantonese
771,Sushi Bars
771,Conveyor Belt Sushi
772,Dim Sum
772,Shanghainese
772,Noodles
773,American (New)
773,Wine Bars
773,Desserts
774,Desserts
774,American (Traditional)
775,Mediterranean
775,Lebanese
775,Kebab
776,Bars
776,Seafood
777,Thai
777,Cocktail Bars
778,American (New)
778,Gastropubs
778,Tapas/Small Plates
779,Japanese
779,Sushi Bars
780,Szechuan
780,Hot Pot
780,Noodles
781,Steakhouses
781,Seafood
781,Soup
782,Asian Fusion
782,Wine Bars
783,Vietnamese
783,Vegetarian
783,Noodles
784,Vietnamese
784,Asian Fusion
784,Breakfast & Brunch
785,Mexican
786,Delis
786,Breakfast & Brunch
786,Sandwiches
787,Seafood
788,Tex-Mex
788,Mexican
788,New Mexican Cuisine
789,Coffee & Tea
789,Cafes
790,Pizza
790,Fast Food
